id;bairro;cep
730;JARDIM DAMASCENO;02879000
731;JARDIM DAMASCENO;02879010
732;JARDIM DAMASCENO;02879020
733;JARDIM DAMASCENO;02879030
734;JARDIM DAMASCENO;02879040
735;JARDIM DAMASCENO;02879050
736;JARDIM DAMASCENO;02879060
737;JARDIM DAMASCENO;02879070
738;JARDIM DAMASCENO;02879080
739;JARDIM DAMASCENO;02879090
740;JARDIM DAMASCENO;02879100
741;JARDIM DAMASCENO;02879110
742;JARDIM DAMASCENO;02879120
743;JARDIM DAMASCENO;02879130
744;JARDIM DAMASCENO;02879140
745;JARDIM DAMASCENO;02879150
746;JARDIM DAMASCENO;02879160
747;JARDIM DAMASCENO;02879170
748;JARDIM DAMASCENO;02879180
749;JARDIM DAMASCENO;02879190
750;JARDIM DAMASCENO;02879200
751;JARDIM DAMASCENO;02879210
752;JARDIM PARANA;02876000
753;JARDIM PARANA;02876110
754;JARDIM PARANA;02876120
755;JARDIM PARANA;02876170
756;JARDIM PARANA;02876180
757;JARDIM PARANA;02876250
758;JARDIM PARANA;02876270
759;JARDIM PARANA;02876290
760;JARDIM PARANA;02876360
761;JARDIM PARANA;02876420
762;JARDIM PARANA;02876430
763;JARDIM PARANA;02876490
764;VILA ITABERABA;02846010
765;VILA ITABERABA;02846020
766;VILA ITABERABA;02846050
767;VILA ITABERABA;02846060
768;VILA ITABERABA;02846070
769;VILA ITABERABA;02846100
770;VILA ITABERABA;02846160
771;VILA ITABERABA;02846180
772;VILA ITABERABA;02846210
773;VILA ITABERABA;02846220
774;VILA ITABERABA;02846240
775;VILA ITABERABA;02846250
776;VILA ITABERABA;02846270
778;VILA ITABERABA;02847000
779;VILA ITABERABA;02847001
780;VILA ITABERABA;02847010
781;VILA ITABERABA;02847020
782;VILA ITABERABA;02847040
783;VILA ITABERABA;02847060
784;VILA ITABERABA;02847070
785;VILA ITABERABA;02851000
786;JARDIM PRINCESA;02856000
787;JARDIM PRINCESA;02856010
788;JARDIM PRINCESA;02856020
789;JARDIM PRINCESA;02856024
790;JARDIM PRINCESA;02856030
791;JARDIM PRINCESA;02856040
792;JARDIM PRINCESA;02856050
793;JARDIM PRINCESA;02856060
794;JARDIM PRINCESA;02856070
795;JARDIM PRINCESA;02856080
796;JARDIM PRINCESA;02856090
797;JARDIM PRINCESA;02856094
798;JARDIM PRINCESA;02856100
799;JARDIM PRINCESA;02856110
800;JARDIM PRINCESA;02856130
801;JARDIM PRINCESA;02856140
802;JARDIM PRINCESA;02856170
803;JARDIM PRINCESA;02856120
804;JARDIM VISTA ALEGRE/RECANTO;02877000
805;JARDIM VISTA ALEGRE/RECANTO;02877010
806;JARDIM VISTA ALEGRE/RECANTO;02877020
807;JARDIM VISTA ALEGRE/RECANTO;02877030
808;JARDIM VISTA ALEGRE/RECANTO;02877040
